name,pa,ba,obp,slg,hits,doubles,triples,hr,singles,iso,ops
George Springer,586,0.309,0.399,0.56,154,27,1,32,94,0.25100000000000006,0.9590000000000001
Alejandro Kirk,506,0.282,0.348,0.421,127,18,0,15,94,0.139,0.7689999999999999
Vladimir Guerrero Jr.,680,0.292,0.381,0.467,172,34,0,23,115,0.17500000000000004,0.8480000000000001
Bo Bichette,628,0.311,0.357,0.483,181,44,1,18,118,0.172,0.84
Ernie Clement,588,0.277,0.313,0.398,151,35,2,9,105,0.121,0.7110000000000001
Daulton Varsho,271,0.238,0.284,0.548,59,13,2,20,24,0.31000000000000005,0.8320000000000001
Addison Barger,502,0.243,0.301,0.454,112,32,1,21,58,0.21100000000000002,0.755
Tyler Heineman,174,0.289,0.361,0.416,43,8,1,3,31,0.127,0.7769999999999999
Nathan Lukes,438,0.255,0.323,0.407,99,19,2,12,66,0.15199999999999997,0.73
Myles Straw,299,0.262,0.313,0.367,70,14,1,4,51,0.10499999999999998,0.6799999999999999
Davis Schneider,227,0.234,0.361,0.436,44,5,0,11,28,0.20199999999999999,0.7969999999999999
Andres Gimenez,369,0.21,0.285,0.313,69,11,1,7,50,0.10300000000000001,0.598
Joey Loperfido,104,0.333,0.379,0.5,32,4,0,4,24,0.16699999999999998,0.879
Jonatan Clase,112,0.21,0.288,0.3,21,3,0,2,16,0.09,0.588
Anthony Santander,221,0.175,0.271,0.294,34,5,0,6,23,0.119,0.565
